Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Peter Evison,82.83,Graeme Stoddart,86.55,3 V 2,3.0,2.0,Peter Evison
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Kevin Spiolek,82.23,Keith Deller,82.53,3 V 1,3.0,1.0,Kevin Spiolek
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Larry Butler,86.7,Keith Deller,83.97,3 V 2,3.0,2.0,Larry Butler
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Kevin Spiolek,79.08,Larry Butler,79.14,3 V 0,3.0,0.0,Kevin Spiolek
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Cliff Lazarenko,82.53,Graeme Stoddart,80.55,3 V 2,3.0,2.0,Cliff Lazarenko
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Eric Bristow,88.32,Shayne Burgess,91.02,3 V 0,3.0,0.0,Eric Bristow
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Jamie Harvey,88.83,Steve Brown (US),87.15,3 V 1,3.0,1.0,Jamie Harvey
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Steve Brown (US),83.22,Jim Watkins,78.51,3 V 0,3.0,0.0,Steve Brown (US)
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Jamie Harvey,85.14,Jim Watkins,79.53,3 V 2,3.0,2.0,Jamie Harvey
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Rod Harrington,85.62,Eric Bristow,82.2,3 V 0,3.0,0.0,Rod Harrington
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Alan Warriner-Little,87.69,Tom Kirby,89.25,3 V 2,3.0,2.0,Alan Warriner-Little
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Rod Harrington,85.62,Shayne Burgess,83.04,3 V 2,3.0,2.0,Rod Harrington
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Peter Evison,92.94,Cliff Lazarenko,85.35,3 V 0,3.0,0.0,Peter Evison
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Dennis Smith,82.8,Alan Warriner-Little,87.15,3 V 1,3.0,1.0,Dennis Smith
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Dennis Smith,80.94,Tom Kirby,77.4,3 V 1,3.0,1.0,Dennis Smith
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,Dennis Priestley,86.25,Jocky Wilson,81.24,3 V 2,3.0,2.0,Dennis Priestley
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Final,Phil Taylor,94.11,Rod Harrington,87.15,6 V 2,6.0,2.0,Phil Taylor
PDC World Championship,1995-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=243&tna=PDC World Championship&eda=02/01/1995,Last 24 Group 3rd,John Lowe,93.51,Jocky Wilson,75.54,3 V 0,3.0,0.0,John Lowe
