player,elo
Luke Littler,2291.4670174437942
Gian van Veen,2191.203763911799
Beau Greaves,2187.996212974505
Gerwyn Price,2173.138406596911
Stephen Bunting,2169.4461862450075
Luke Humphries,2169.26711161261
Nathan Aspinall,2164.1840008116073
Wessel Nijman,2145.130834272441
Danny Noppert,2140.1211953589286
Jermaine Wattimena,2132.7498193730617
Michael van Gerwen,2111.9918869624616
Gary Anderson,2104.539988507288
James Wade,2104.471743098608
Josh Rock,2097.837167754974
Chris Dobey,2093.1452021250257
Jonny Clayton,2086.084888186602
Ryan Searle,2068.345506291803
Ross Smith,2067.837104862991
Damon Heta,2065.9577690548535
Phil Taylor,2064.938738166092
Ryan Joyce,2059.6838656407695
Dirk van Duijvenbode,2058.9828578902548
Bradley Brooks,2056.555096152197
Cameron Menzies,2055.0368627266857
Martin Schindler,2052.279253519274
Fallon Sherrock,2045.7335294990032
Niels Zonneveld,2042.39178244924
William O'Connor,2038.6142186137636
Krzysztof Ratajski,2036.8486757840956
Gemma Hayter,2035.7417142997901
Scott Williams,2026.2161977844255
Mike de Decker,2018.9439865168754
Lisa Ashton,2014.7948837428316
Brendan Dolan,2009.9068740056641
Daryl Gurney,2009.3724420396086
Rob Cross,2005.8560570577956
Cam Crabtree,2001.2105797174781
Wesley Plaisier,2001.0260540602499
Niko Springer,1991.4604317234227
Mario Vandenbogaerde,1990.6006167871196
Dom Taylor,1985.3459192313787
Kevin Doets,1981.7400185078584
Michael Unterbuchner,1981.4496913909531
Darren Beveridge,1980.2024322549335
Luke Woodhouse,1978.785733471624
Jurjen van der Velde,1978.2297136227728
Karel Sedlacek,1976.9639026946522
Mickey Mansell,1972.741229218854
Corey Cadby,1972.577438008842
Andrew Gilding,1968.1132033159163
Rhian O'Sullivan,1958.2012359090068
Alexander Merkx,1956.0057634248183
James Hurrell,1954.876275490421
Callan Rydz,1954.501664486354
Alan Soutar,1951.0947799603832
Keane Barry,1949.97471435284
Aileen de Graaf,1946.5334669038211
Jeffrey de Graaf,1946.0020840493735
Martin Lukeman,1940.9250374089845
Mensur Suljovic,1936.7058229706427
Adrian Lewis,1934.8471762744127
Richard Veenstra,1932.9811154492302
Steve Lennon,1931.5217751837524
Dominik Grüllich,1929.6501820683281
Jamai van den Herik,1927.7329699403326
Noa-Lynn van Leuven,1927.6811675323806
Charlie Manby,1927.6744423979808
Madars Razma,1927.1212009778683
Raymond van Barneveld,1924.3403621619682
Adam Gawlas,1922.1013658609434
Michael Smith,1921.875092913981
Dave Chisnall,1921.457953460638
Kim Huybrechts,1919.2294735007038
Chris Landman,1918.713805165737
Thibault Tricole,1918.7041553743213
Joe Cullen,1918.3082186789543
Ryan Meikle,1917.5337645720547
Ritchie Edhouse,1917.4793661167298
Sam Spivey,1915.2383936892027
Max Hopp,1914.4137717718163
Cor Dekker,1913.164588374682
Mikuru Suzuki,1912.619871021298
Robert Grundy,1912.431839475513
Ricardo Pietreczko,1911.512543795879
Andy Baetens,1910.8907042009412
Ricky Evans,1909.9181036767159
Sebastian Białecki,1909.5395501743712
Justin Hood,1906.220986618736
Boris Krcmar,1904.8303640310496
Connor Scutt,1900.9925136354686
Nick Kenny,1900.9780333234605
Lukas Wenig,1899.7204634614138
Ian White,1896.8733541894735
Kyle McKinstry,1896.6640867240042
Llew Bevan,1896.0844727827468
Cameron Crabtree,1894.9128131403047
Stephen Burton,1894.6896559843713
Peter Wright,1893.4405857494546
Gabriel Clemens,1893.4332024469593
Jimmy van Schie,1891.1400046464275
Andy Boulton,1889.5102960480428
Dennie Olde Kalter,1886.895027960477
Jenson Walker,1884.6947969623536
Jack Tweddell,1882.0576132943297
Matthew Dennant,1881.368524867598
Mervyn King,1879.4779115529886
Darryl Pilgrim,1878.2581511778642
Stefan Bellmont,1876.3261916098104
Tyler Thorpe,1875.5856682322062
Andreas Harrysson,1875.3673478159865
Steve Beaton,1874.296912880448
Robert Owen,1874.1968167012615
Adam Lipscombe,1874.151455205088
Shane McGuirk,1872.2039306312406
Florian Hempel,1871.1347818424729
Viktor Tingstrom,1870.957013071338
David Pallett,1870.9246289653393
Maik Kuivenhoven,1869.207347282604
Owen Bates,1869.0438687507844
Martijn Kleermaker,1868.996509122674
Darius Labanauskas,1864.0249528512793
Leon Weber,1862.878767169365
Scott Waites,1862.2659668374658
Cody Harris,1860.9507295766052
Adam Hunt,1860.1497824100284
Dimitri van den Bergh,1857.4722203946792
James Beeton,1857.044321822169
Ted Evetts,1856.1699622154001
Daniel Ayres,1854.9452762771368
Kyle Anderson,1851.9971062687475
Wesley Harms,1851.382254929126
Martijn Dragt,1850.0162176394358
Lorraine Winstanley,1849.5994232903554
Dennis Priestley,1848.7270892588954
Matt Campbell,1846.6011687023356
Dragutin Horvat,1845.3351208519057
Nathan Rafferty,1845.0162765169657
Jarkko Komula,1844.7377812173534
Kirsi Viinikainen,1843.7818250544667
Nathan Potter,1843.350653512851
Danny Baggish,1840.9317114936507
Daniel Klose,1840.8365717368604
Graham Hall,1840.0720529874045
Dominik Gruellich,1839.409967235618
Mark Webster,1838.0257828423794
Peter Machin,1835.6986884942182
Vicky Pruim,1835.631873349663
Patrick Geeraets,1835.3601650495998
Kirk Shepherd,1831.952660665752
Leonard Gates,1831.3503852752367
Jason Hogg,1830.9895230944835
Paul Nicholson,1830.5362356005535
Jannis Barkhausen,1830.3069645733672
Joe Hunt,1828.7564433570108
Deta Hedman,1828.0850539168412
Jose de Sousa,1826.0205307551585
Martin Atkins (Wigan),1825.6087591619355
Leighton Bennett,1823.647348510213
Steve Brown,1823.303467676023
Ryan Branley,1821.6902514875917
Jamie Atkins,1821.469640123362
William Borland,1820.6417382101451
Liam Maendl-Lawrance,1820.5463263596503
Pascal Rupprecht,1820.5056760743992
Nigel Heydon,1819.7815753930463
James Wilson,1819.3639853984555
Jamie Hughes,1816.668435644628
Dylan Slevin,1815.9338089083064
Christian Bunse,1815.3040399827812
Seigo Asada,1815.015540147159
Christian Perez,1814.7920008262774
Michael van Gerwen+Raymond van Barneveld,1813.6091373465442
Phil Taylor+Adrian Lewis,1813.5261180100022
Kurt Parry,1813.401912730183
Vincent van der Voort,1813.396539488757
Jitse van der Wal,1813.3497969574726
Gordon Mathers,1813.113311303953
Christian Kist,1813.0347645413663
Paige Pauling,1812.2919487514214
Darren Penhall,1811.8852597117059
Cristo Reyes,1811.2963090022367
Lee Cocks,1811.182721938941
Marvin van Velzen,1810.1079541660872
Jason Lowe,1810.0237785038198
Thomas Sykes,1809.921430428862
Tony West,1809.4125535334756
Raymond Smith,1809.0064011640661
Mitchell Lawrie,1806.8415433726077
John O'Shea,1806.377872676997
Tommy Lishman,1805.9877737161003
Cayden Smith,1805.5645323777546
Wayne Jones,1804.090025015476
David Platt,1803.5314755479765
Boris Koltsov,1803.4261357928274
Krzysztof Kciuk,1803.0922541157522
Mark Walsh,1802.891050626552
Martin C. Thomas,1801.4425898551915
Andy Hamilton,1800.4620032142382
Robyn Byrne,1800.0314901458585
Jim Williams,1799.9292873093095
Haupai Puha,1799.8217477812798
Carl Wilson,1799.4839988247204
Rhys Griffin,1799.3149881701288
Jim Long,1798.9620910084404
Andy Jenkins,1797.782213492258
Tom Bissell,1796.745560787559
Patrik Williams,1796.0703495599337
Jelle Klaasen,1794.8006935356589
David Davies,1794.370863841818
Yordi Meeuwisse,1794.2721980504507
Florian Preis,1794.2667955635259
Alec Small,1793.6594206729371
Aoife McCormack,1793.59892437854
Zoran Lerchbacher,1793.4464312432203
James Buckby,1793.1856595421816
Justin Smith,1792.9905177261714
Jeffrey de Zwaan,1792.580785182022
Terry Jenkins,1791.8672464429021
John Henderson,1791.805662795611
Geert de Vos,1791.1447534864494
Danny Van Trijp,1790.614503415652
Radek Szaganski,1790.580280878215
Brett Claydon,1790.4534943562544
