player,rating,games_played,win_prob_vs_avg,elo_equivalent
Luke Littler,4.2386387360104925,509,0.9857779666378934,2236.3269655322924
Beau Greaves,3.626811862892324,886,0.9740884138442719,2130.0417515821555
Luke Humphries,3.605873666686961,1364,0.9735546511649839,2126.4044143529572
Gerwyn Price,3.605800771724859,1505,0.9735527743470601,2126.3917512010376
Gian van Veen,3.6047316653815895,920,0.9735252333021167,2126.2060284068575
Stephen Bunting,3.5765520973281157,1722,0.9727891640391821,2121.310736043641
Nathan Aspinall,3.4683478319838716,1199,0.9697736265131228,2102.513729900681
Wessel Nijman,3.3858408058794636,784,0.9672590830603524,2088.180791438524
Danny Noppert,3.3356283925248946,1087,0.9656310535704401,2079.45800182135
Phil Taylor,3.307277097418538,1935,0.9646776159729519,2074.5328774135496
Jermaine Wattimena,3.2878141347348393,1013,0.9640083897426079,2071.151814495542
Gary Anderson,3.2488862922592636,2338,0.9626330725097628,2064.3893556237254
Josh Rock,3.24558483239311,601,0.962514135332322,2063.8158333028873
James Wade,3.2231566129366067,2829,0.9616964622956561,2059.9196525233374
Michael van Gerwen,3.222400642485948,2954,0.9616686053618108,2059.788327005256
Jonny Clayton,3.1627131662845365,1274,0.9594067436994846,2049.419550384054
Chris Dobey,3.1400734129797434,1054,0.958515799936057,2045.4866224112852
Ross Smith,3.053677516641763,1177,0.9549410301329798,2030.4781179958172
Damon Heta,3.0150687195928363,876,0.9532502574298037,2023.7710829913085
Ryan Searle,2.9761020104399796,956,0.9514827434424346,2017.0018722861028
Cameron Menzies,2.9690799669318557,709,0.9511575528884165,2015.7820183871977
Dirk van Duijvenbode,2.9526454685456507,1317,0.9503883718396725,2012.9270536024069
Martin Schindler,2.9470372773502933,1057,0.9501232749570853,2011.9528110065662
Ryan Joyce,2.904066597384769,688,0.9480470976217048,2004.488039329503
Fallon Sherrock,2.8898550591820897,1157,0.9473426517257193,2002.0192422811906
Niels Zonneveld,2.8208211897458826,749,0.9437906463093748,1990.026830856961
William O'Connor,2.800625640621721,1113,0.9427096231788848,1986.518504639509
Krzysztof Ratajski,2.78332042350816,1041,0.9417678078137854,1983.5122805192864
Bradley Brooks,2.773199044636465,1007,0.941210250966735,1981.7540169219947
Gemma Hayter,2.772349574751986,207,0.9411632291919242,1981.6064488886457
Mike de Decker,2.7682109496843075,1180,0.9409336339378294,1980.8874960768221
Scott Williams,2.7587672008726534,476,0.9404065829422403,1979.2469488778693
Lisa Ashton,2.728306117078204,1134,0.9386764045992373,1973.9553166359804
Rob Cross,2.703313622335748,1308,0.9372218902941251,1969.6136756137225
Daryl Gurney,2.697532151311962,1492,0.936880864685945,1968.609331228557
Brendan Dolan,2.634241801489652,1680,0.9330330744936327,1957.6146713543349
Cam Crabtree,2.6247941479178087,371,0.9324403422906447,1955.973445829061
Wesley Plaisier,2.5991170494915576,572,0.9308047328411638,1951.5128769659377
Kevin Doets,2.549655322760978,732,0.9275503555021016,1942.9204949721388
Niko Springer,2.546543176720991,385,0.9273409386490491,1942.3798598313215
Dom Taylor,2.540946141482018,518,0.9269629087687741,1941.4075552236
Corey Cadby,2.5374010666339206,268,0.9267225341371113,1940.7917126458149
Luke Woodhouse,2.5336299004355523,908,0.9264660297662435,1940.1365939776983
Andrew Gilding,2.5263939498801045,1125,0.9259715443808297,1938.8795806186758
Karel Sedlacek,2.5220094419358006,600,0.9256704321656076,1938.117913576247
