Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Danny Noppert,,Rowby-John Rodriguez,,6 V 2,6,2,Danny Noppert
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Dimitri van den Bergh,,Madars Razma,,6 V 3,6,3,Dimitri van den Bergh
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Vincent van der Voort,,Jelle Klaasen,,6 V 4,6,4,Vincent van der Voort
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Andy Boulton,,Joe Cullen,,6 V 5,6,5,Andy Boulton
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Luke Humphries,,Jason Heaver,,6 V 4,6,4,Luke Humphries
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Ross Smith,,Rusty-Jake Rodriguez,,6 V 2,6,2,Ross Smith
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Scott Mitchell,,Martijn Kleermaker,,6 V 5,6,5,Scott Mitchell
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Jonny Clayton,,Alan Tabern,,6 V 4,6,4,Jonny Clayton
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Gary Anderson,,Stephen Bunting,,6 V 5,6,5,Gary Anderson
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Ryan Meikle,,Dirk van Duijvenbode,,6 V 5,6,5,Ryan Meikle
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Raymond van Barneveld,,Maik Kuivenhoven,,6 V 1,6,1,Raymond van Barneveld
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Michael van Gerwen,,Kevin Doets,,6 V 3,6,3,Michael van Gerwen
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Gabriel Clemens,,Steve Beaton,,6 V 5,6,5,Gabriel Clemens
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Damon Heta,,Steve Lennon,,6 V 2,6,2,Damon Heta
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Adrian Lewis,,Kim Huybrechts,,6 V 3,6,3,Adrian Lewis
Players Championship Finals,28/11/2021,https://www.dartsdatabase.co.uk/display-event.php?eid=24751&tna=Players Championship Finals&eda=28/11/2021,Last 64,Peter Wright,,Keane Barry,,6 V 4,6,4,Peter Wright
