player,current_elo,total_matches,wins,losses,win_percentage,legs_won,legs_lost,legs_ratio,tournaments_played,first_match,last_match
Luke Littler,2291.4670174437942,509,406,103,79.76424361493125,2732.0,1724.0,1.58,104,2021-10-16,2025-10-26
Gian van Veen,2191.203763911799,920,626,294,68.04347826086956,4156.0,2972.0,1.4,161,2014-08-07,2025-10-26
Beau Greaves,2187.996212974505,886,768,118,86.68171557562077,3607.0,1428.0,2.53,94,2014-10-12,2025-10-19
Gerwyn Price,2173.138406596911,1505,1015,490,67.44186046511628,8430.0,6451.0,1.31,204,2014-02-07,2025-10-26
Stephen Bunting,2169.4461862450075,1722,1101,621,63.937282229965156,8206.0,6756.0,1.21,271,2000-01-15,2025-10-26
Luke Humphries,2169.26711161261,1364,964,400,70.67448680351906,6849.0,4836.0,1.42,241,2011-02-26,2025-10-26
Nathan Aspinall,2164.1840008116073,1199,736,463,61.38448707256047,5960.0,4998.0,1.19,237,2012-04-21,2025-10-26
Wessel Nijman,2145.130834272441,784,569,215,72.5765306122449,3339.0,2114.0,1.58,120,2016-12-03,2025-10-26
Danny Noppert,2140.1211953589286,1087,717,370,65.96136154553818,5429.0,4435.0,1.22,197,2012-02-05,2025-10-26
Jermaine Wattimena,2132.7498193730617,1013,583,430,57.5518262586377,4879.0,4324.0,1.13,195,2008-11-20,2025-10-26
Michael van Gerwen,2111.9918869624616,2954,2229,725,75.45700744752878,16834.0,10948.0,1.54,303,2005-08-13,2025-10-26
Gary Anderson,2104.539988507288,2338,1640,698,70.1454234388366,12660.0,8995.0,1.41,259,2000-09-23,2025-10-26
James Wade,2104.471743098608,2829,1890,939,66.80805938494167,14799.0,11623.0,1.27,306,2001-05-08,2025-10-26
Josh Rock,2097.837167754974,601,418,183,69.55074875207987,3103.0,2244.0,1.38,107,2022-01-12,2025-10-26
Chris Dobey,2093.1452021250257,1054,623,431,59.108159392789375,5300.0,4556.0,1.16,197,2014-03-09,2025-10-26
Jonny Clayton,2086.084888186602,1274,807,467,63.34379905808477,6603.0,5436.0,1.21,216,2009-06-07,2025-10-26
Ryan Searle,2068.345506291803,956,600,356,62.76150627615063,4734.0,3906.0,1.21,187,2011-09-04,2025-10-26
Ross Smith,2067.837104862991,1177,668,509,56.75446049277825,5484.0,4853.0,1.13,235,2005-11-18,2025-10-26
Damon Heta,2065.9577690548535,876,578,298,65.98173515981736,4555.0,3469.0,1.31,165,2009-07-25,2025-10-26
Phil Taylor,2064.938738166092,1935,1654,281,85.4780361757106,12019.0,5966.0,2.01,135,1992-01-09,2024-03-24
Ryan Joyce,2059.6838656407695,688,401,287,58.28488372093024,3315.0,2935.0,1.13,164,2013-10-27,2025-10-26
Dirk van Duijvenbode,2058.9828578902548,1317,798,519,60.59225512528473,6147.0,5162.0,1.19,245,2011-01-03,2025-10-26
Bradley Brooks,2056.555096152197,1007,582,425,57.79543197616683,3805.0,3333.0,1.14,213,2015-05-17,2025-10-15
Cameron Menzies,2055.0368627266857,709,448,261,63.18758815232722,3238.0,2625.0,1.23,150,2007-09-23,2025-10-26
Martin Schindler,2052.279253519274,1057,631,426,59.69725638599811,4858.0,4202.0,1.16,214,2014-04-05,2025-10-26
Fallon Sherrock,2045.7335294990032,1157,838,319,72.42869490060502,4252.0,2511.0,1.69,126,2011-09-24,2025-10-19
Niels Zonneveld,2042.39178244924,749,446,303,59.546061415220294,3209.0,2813.0,1.14,172,2018-04-14,2025-10-19
William O'Connor,2038.6142186137636,1113,571,542,51.30278526504941,5174.0,4925.0,1.05,219,2009-08-23,2025-10-19
Krzysztof Ratajski,2036.8486757840956,1041,678,363,65.12968299711815,5208.0,4053.0,1.28,200,2007-11-04,2025-10-26
Gemma Hayter,2035.7417142997901,207,161,46,77.77777777777779,767.0,376.0,2.04,28,2015-07-04,2025-10-19
Scott Williams,2026.2161977844255,476,288,188,60.50420168067227,2200.0,1924.0,1.14,101,2020-01-12,2025-10-14
Mike de Decker,2018.9439865168754,1180,708,472,60.0,5004.0,4224.0,1.18,215,2014-01-19,2025-10-26
Lisa Ashton,2014.7948837428316,1134,821,313,72.39858906525573,4110.0,2532.0,1.62,149,2007-11-18,2025-10-19
Brendan Dolan,2009.9068740056641,1680,988,692,58.80952380952381,8055.0,6958.0,1.16,252,2003-06-01,2025-10-15
Daryl Gurney,2009.3724420396086,1492,910,582,60.991957104557635,7508.0,6239.0,1.2,224,2004-09-23,2025-10-26
Rob Cross,2005.8560570577956,1308,876,432,66.97247706422019,7216.0,5561.0,1.3,209,2015-10-11,2025-10-26
Cam Crabtree,2001.2105797174781,371,243,128,65.49865229110512,1444.0,1070.0,1.35,85,2021-08-20,2025-10-15
Wesley Plaisier,2001.0260540602499,572,371,201,64.86013986013987,2532.0,1951.0,1.3,105,2013-06-16,2025-10-19
Niko Springer,1991.4604317234227,385,262,123,68.05194805194805,1560.0,1095.0,1.42,119,2019-08-17,2025-10-26
Mario Vandenbogaerde,1990.6006167871196,441,244,197,55.32879818594104,1919.0,1759.0,1.09,115,2002-04-14,2025-10-15
Dom Taylor,1985.3459192313787,518,330,188,63.7065637065637,2165.0,1683.0,1.29,99,2019-06-08,2025-10-15
Kevin Doets,1981.7400185078584,732,460,272,62.841530054644814,3162.0,2497.0,1.27,150,2018-04-14,2025-10-15
Michael Unterbuchner,1981.4496913909531,296,189,107,63.85135135135135,1191.0,982.0,1.21,80,2015-11-21,2025-10-26
Darren Beveridge,1980.2024322549335,303,165,138,54.45544554455446,1275.0,1188.0,1.07,67,2013-03-23,2025-10-15
