player,rating,elo_equivalent,total_matches,wins,losses,win_percentage,legs_won,legs_lost,legs_ratio,tournaments_played,first_match,last_match,games_played
Luke Littler,4.2386387360104925,2236.3269655322924,509,406,103,79.76424361493125,2732.0,1724.0,1.58,104,2021-10-16,2025-10-26,509
Beau Greaves,3.626811862892324,2130.0417515821555,886,768,118,86.68171557562077,3607.0,1428.0,2.53,94,2014-10-12,2025-10-19,886
Luke Humphries,3.605873666686961,2126.4044143529572,1364,964,400,70.67448680351906,6849.0,4836.0,1.42,241,2011-02-26,2025-10-26,1364
Gerwyn Price,3.605800771724859,2126.3917512010376,1505,1015,490,67.44186046511628,8430.0,6451.0,1.31,204,2014-02-07,2025-10-26,1505
Gian van Veen,3.6047316653815895,2126.2060284068575,920,626,294,68.04347826086956,4156.0,2972.0,1.4,161,2014-08-07,2025-10-26,920
Stephen Bunting,3.5765520973281157,2121.310736043641,1722,1101,621,63.937282229965156,8206.0,6756.0,1.21,271,2000-01-15,2025-10-26,1722
Nathan Aspinall,3.4683478319838716,2102.513729900681,1199,736,463,61.38448707256047,5960.0,4998.0,1.19,237,2012-04-21,2025-10-26,1199
Wessel Nijman,3.3858408058794636,2088.180791438524,784,569,215,72.5765306122449,3339.0,2114.0,1.58,120,2016-12-03,2025-10-26,784
Danny Noppert,3.3356283925248946,2079.45800182135,1087,717,370,65.96136154553818,5429.0,4435.0,1.22,197,2012-02-05,2025-10-26,1087
Phil Taylor,3.307277097418538,2074.5328774135496,1935,1654,281,85.4780361757106,12019.0,5966.0,2.01,135,1992-01-09,2024-03-24,1935
Jermaine Wattimena,3.2878141347348393,2071.151814495542,1013,583,430,57.5518262586377,4879.0,4324.0,1.13,195,2008-11-20,2025-10-26,1013
Gary Anderson,3.2488862922592636,2064.3893556237254,2338,1640,698,70.1454234388366,12660.0,8995.0,1.41,259,2000-09-23,2025-10-26,2338
Josh Rock,3.24558483239311,2063.8158333028873,601,418,183,69.55074875207987,3103.0,2244.0,1.38,107,2022-01-12,2025-10-26,601
James Wade,3.2231566129366067,2059.9196525233374,2829,1890,939,66.80805938494167,14799.0,11623.0,1.27,306,2001-05-08,2025-10-26,2829
Michael van Gerwen,3.222400642485948,2059.788327005256,2954,2229,725,75.45700744752878,16834.0,10948.0,1.54,303,2005-08-13,2025-10-26,2954
Jonny Clayton,3.1627131662845365,2049.419550384054,1274,807,467,63.34379905808477,6603.0,5436.0,1.21,216,2009-06-07,2025-10-26,1274
Chris Dobey,3.1400734129797434,2045.4866224112852,1054,623,431,59.108159392789375,5300.0,4556.0,1.16,197,2014-03-09,2025-10-26,1054
Ross Smith,3.053677516641763,2030.4781179958172,1177,668,509,56.75446049277825,5484.0,4853.0,1.13,235,2005-11-18,2025-10-26,1177
Damon Heta,3.0150687195928363,2023.7710829913085,876,578,298,65.98173515981736,4555.0,3469.0,1.31,165,2009-07-25,2025-10-26,876
Ryan Searle,2.9761020104399796,2017.0018722861028,956,600,356,62.76150627615063,4734.0,3906.0,1.21,187,2011-09-04,2025-10-26,956
Cameron Menzies,2.9690799669318557,2015.7820183871977,709,448,261,63.18758815232722,3238.0,2625.0,1.23,150,2007-09-23,2025-10-26,709
Dirk van Duijvenbode,2.9526454685456507,2012.9270536024069,1317,798,519,60.59225512528473,6147.0,5162.0,1.19,245,2011-01-03,2025-10-26,1317
